Category,Question,Answer
General,What is this chatbot?,"This is an NLP-based FAQ chatbot that uses TF-IDF and cosine similarity to find the most relevant answer to your questions."
General,How does the chatbot work?,"The chatbot preprocesses your question using NLTK, converts it into a TF-IDF vector, and compares it with all stored FAQ questions using cosine similarity to return the best matching answer."
General,Who created this project?,"This project was created as a demonstration of natural language processing techniques using Python, NLTK, and Scikit-learn."
General,Is this chatbot free to use?,"Yes, this chatbot is completely free and open source."
Account,How do I create an account?,"Click on the Sign Up button on the top right corner, fill in your details, and verify your email address to create an account."
Account,How can I reset my password?,"Go to the login page, click on Forgot Password, enter your registered email, and follow the instructions sent to your inbox."
Account,How do I delete my account?,"Navigate to Settings, scroll to the bottom, and click Delete Account. Please note this action is permanent and cannot be undone."
Account,How do I update my profile information?,"Go to your profile page, click Edit Profile, make your changes, and click Save to update your information."
Billing,What payment methods do you accept?,"We accept all major credit cards, debit cards, PayPal, and bank transfers."
Billing,How do I cancel my subscription?,"Go to Settings, select Billing, and click Cancel Subscription. Your access will remain active until the end of the billing period."
Billing,Can I get a refund?,"Yes, we offer a 30-day money-back guarantee. Contact our support team to request a refund within 30 days of purchase."
Billing,How do I view my invoices?,"Go to Settings, select Billing, and click on Invoice History to view and download all your past invoices."
Support,How can I contact support?,"You can contact our support team via email at support@example.com or through the live chat available on our website."
Support,What are your support hours?,"Our support team is available Monday to Friday, 9 AM to 6 PM EST. We also offer 24/7 email support."
Support,Where can I find documentation?,"Our complete documentation is available at docs.example.com, covering setup guides, tutorials, and API references."
Shipping,How long does shipping take?,"Standard shipping takes 5 to 7 business days, while express shipping takes 2 to 3 business days."
Shipping,Do you ship internationally?,"Yes, we ship to over 100 countries worldwide. International shipping times vary by destination."
Shipping,How do I track my order?,"Once your order ships, you will receive a tracking number via email that you can use to track your package on our website."
Shipping,What is your return policy?,"You can return any unused item within 30 days of delivery for a full refund. Items must be in their original packaging."
Technical,What browsers are supported?,"Our platform supports the latest versions of Chrome, Firefox, Safari, and Edge for the best experience."
Technical,Is my data secure?,"Yes, we use industry-standard encryption and follow strict security protocols to keep your data safe and private."
Technical,Do you have a mobile app?,"Yes, our mobile app is available for both iOS and Android devices. You can download it from the App Store or Google Play."
